TransID,CustID,TransTotal,TransNumItems,TransDesc
3627213,38782,60.69,13,GEMA6pZd5x73czYwraLkhP1nLebkQlJlBC2hrMcwtcqA
3627250,20266,100.0,7,3bdeEZ9RtS2SZULIKq7M9
3627391,16413,82.17,6,wUH47dBfGQ5KCDBMbti0Tu09Coy8b0TFt0xts
3627406,21960,24.71,13,SymHeFSJbt0grrRsMNZDlSfSISAPQoVQs
3627409,27532,15.02,7,8dSJfSt4QJg0N2oBWvCeTpORg7
3627422,22420,92.87,15,hsCB6Va1A1W5jilipmwsuka8GAi8GkT4BTU
3627436,3628,97.68,7,dJiuPyLTRIRiorNP95XY2o8rT
3627534,32114,32.8,3,iTLXIBtw8jWR94DKLQ1lVvVNIkHPjPbus2ZkOzzFIIV
3627538,28902,25.08,7,Ifabd8viLEV4evTpp8Dym0h93kfW
3627540,31801,46.75,2,irQ8iznAMLDCTyLe1f9r
3627542,41849,55.45,7,tpG52rMp9Q7O9Di7vLno0oqPW4wnMzNtJ7TW
3627586,32221,76.81,1,3PR8xVxzSYalOyF7JcxQzkTaDf0
3627593,36200,36.86,13,hCKdkO6mVh5UEqHdCGqH9OOknzxYPZhsks1
3627634,42548,30.64,5,INuzv6trFamS9sAMsKll88pVA
3627638,48720,93.18,14,A7pKTflzyL6ZMZEJhMiIK8kYxUW6prMf
3627649,16110,21.3,6,19WzceQI8gJbEKY2jMEJF6XrRPRQrnNcpM9PFBNSH1xsVHI
3627662,37767,29.34,14,CXE2lvwGcH6yZKIinO6SqIn6Id
3627677,43969,49.52,14,oluEhuce2MAAItCdScN6ZRxTLPMWM
3627702,515,66.14,14,9RgUU3xD7be7LFRkOYr1XwYLimSpzF4tYoSvgeRN
3627715,28374,63.37,10,jyeXEy7BKomcB1WBdpp4FTx97fH
3627733,492,79.56,3,L65n9LUBKkgU63DC7Qxssgn9w66Ns0EyhX3IZ
3627761,13011,70.5,1,IXUkkPjV94n1g7NOAEsGMR
3627809,27679,35.38,14,IYQwrpkQXdPaZTP2nqQdy
3627816,45384,36.65,11,eafboUZAM60eaTnc0Q6cwATn3Xv9gvTM70GUBECT2
3627822,18129,20.61,2,Lw1jMVlSIW4R6nGrpWg2SGEDWzKQ5gaWQmEMqpMIqXixAMw
3627866,10219,41.18,15,urH71yPZ51prjMBaTzBc
3627903,31521,15.6,15,mweX0pr4KlKh02ZiQ7eJLTmPmYMzsYCvtiIaa
3627950,19135,90.42,8,qxGBuRdNrpXAaXkhEK4kvWc3QOxb5zEf
3627986,2202,68.67,7,1pCkecxjtgKlseBTDQNqLPg6ynU1KBGd
3628045,48302,69.08,4,N5wl6Qu3np1dNApsgEH3s1Psp9rW452r
3628091,7989,81.35,9,ongfG8t60i7nyDMMZD4qvvuj8fqXgxv0Kcuo6sy
3628109,13085,12.15,15,b87JAa5VIunXNQufJLPrW
3628113,45594,73.32,15,Vv0SGzhBz1XNQWWdFGd5jICP6w1d9HWgzDiKdBt5jBmDf
3628123,939,13.79,10,IirYitRyHuFClHxMg2LydANWzHGUQYLVzO
3628128,18438,46.1,6,RwTLJ41yczW1oZ7ZX6TX2iGy2aPni3qFL
