TransID,CustID,TransTotal,TransNumItems,TransDesc
1145819,8750,38.0,15,9PJW4ZXVicnFzoEu9OKKkzOLSg9vq4XWoQVrCRnDKSI
1145824,38579,18.56,9,6OEXclMDmUbdp3IxnNmlDA0kDqQuLbHCbc
1145879,33835,25.12,8,PwH9gKJmBoG7VkMVCh1CgCwJEKQVmvCJduhUdREj9P
1145891,17916,27.69,5,Q289mRa8McyTCjZHGpB20NU
1145919,19110,93.95,2,NkbA1jJpYwekK8JmC9MF6IZM6Szxd6US
1145945,40532,37.32,2,L1mUL0dKj5GhjCOCJ0skmRpMwj4tI2s5zCxvHm
1145957,11998,99.01,6,UeFGGM1SmIaiME2ha65PtshRvHFS4aEhFFAwmS2gYvfRYM
1145960,30371,89.46,9,bY6ajXaxi0CP5dBqtoU1nbS6Qa7Q8T1exb9b64nEu
1145988,34030,69.36,5,EatUvHnBkIzMR53SWMUVQ
1145990,1914,79.83,14,MXqcm3Z0c1vGv3Ic2C0fTvShcmWbWZOiRx
1146002,9480,67.82,13,jc7LpCPmYqNbuEBTXhSBHLOsshJnAfZPGcIPc6J3
1146031,34552,53.62,11,TBBnxZqob8QMmnBpG8jETLdmwsXp4T
1146053,13960,50.18,1,FiMbZ2yO0VNFWkHtxxciPlEPQfI9
1146055,34434,55.23,1,sqqLmr7BXaavOblnmr9YQqHZ3
1146087,13328,67.25,11,vzPUTSnx3h4Bd4PRp9DuBq
1146109,9623,59.3,8,mVZaHca0V1WtXyp039EYPzu2JXRqaccjjVTRxUebf
1146110,34087,10.69,10,Cgyk4OEC4fBQYHJy2sRgR4PYnKWnQ3xLgK0MZ1JS6Rr3
1146133,34905,45.1,13,V3pNA21eZar7XhU2R4dCzcKz
1146159,45013,85.4,5,1B6Am1WZHqn4UuImDxbyIt08
1146162,35455,38.02,13,Ft4pXE80d6PU5ifhrPblwx6f6HoL06QYHWk0bX
1146218,45460,39.59,11,AyB1A3pnlXl1z1QrWc9ywt13gS7MLH
1146254,48874,51.85,6,HCFR6bIm3HgH3S0XmcYXLHJ0pbEIYWzd5Wvs
1146275,5649,98.19,15,I0ltHuN7FDBAwXtiY8jXIW0mkkt6IGnLs2j8
