TransID,CustID,TransTotal,TransNumItems,TransDesc
4754251,43490,49.34,2,D6l4WiDtNXUitR3BMKodERg1aAdYkx
4754278,6484,77.37,14,acaABOlzbUEQEn5qgwCI3OCdOBibZTobNqZ
4754288,20152,78.55,4,PkkHPEbRNQ6xVOOqybGtuaD39
4754318,25436,97.9,11,598aE1F2RSr6IueH0qnrtmmtIytMeqp50TN3iy2
4754340,46128,30.2,5,mDfU7a0HFdBMs6qw0Vf0J2XDJXmR3S6R
4754346,16702,51.29,4,n3yJsdkDqMRKxbTKSxc82sqk0MBkg6wU
4754393,14942,91.39,15,I7rvpVViV9T7ikJkZD1Fpq2HaJr9cGmy6cBvRc7J3
4754423,32421,90.58,11,wdAp8W5lQHy4js8IfQtgwS1w
4754427,27029,20.14,9,fksFa5rJpyQnRnObBF7mBoMGM0X
4754556,23489,80.76,9,DxzBmFDrQDojyIn0DRtqvezzYZxJBvkJyo86qZbLkHAch3
4754623,21379,98.72,8,KFfRAfJPMjr5YGcmi3PmX
4754636,30367,85.44,14,ooim5l9g9wefgX4WWfx1kGvBpIcJbO6PHjpLMoftYeO48
4754646,14695,79.75,2,FTpAFOEpkipuk0ylWTt9An6obXKHI3khvgHR
4754654,36675,67.63,14,NL9QmMkbGoKh0RQgVC80pxkyNRZK
4754694,29369,81.93,11,O4QXU0NobsFLdEGsWPS6zmHTwsWEtbhAyScyWXH8Wc
4754700,20230,21.55,1,R4c8Vc9Ye8ZGir5xsYdGF6xPBRbaHVK4DR1ihS0NqhyElqtM
4754716,20006,17.27,13,dylP7rCYS5vD8kOMRHJdBLYNvbwoR4kLI1kNEQw7FlpKE3x
4754720,31255,91.19,15,qsVQ9MneMQky3iJNA31z7L7Bi5bxgWXKKo4zxsMJLDHofEA
4754738,46644,55.5,2,iHYcKj4rXz7UjrFW2osPETOiQ1jWfmkCTGBKbRTZBNeBYtqNyl
4754753,40308,15.83,15,WSi8D44SVSzIPKHqMtaqxlLCWkgq
4754754,28657,91.37,9,2d0WHZdBeqiVWWuaW6IstrPR65qo9QygVpSU8Usi
4754761,11828,80.75,10,ytcxA3tqHwRwD7CRs9b9Ik4
4754788,6348,21.78,1,3Tkb6Kb7eN79mVS1WSnx1pEqCEYRhScT
4754844,12946,24.23,15,SfMs4QS0Aom78HCnTF1ViMKsvYQlvzw52RAwaacAEtN2
4754851,35416,21.53,7,lQ77D8Gz3eNty15GnfQMziWX8lZg24Qly
4754871,14071,59.57,8,ABsRGgb7io569diO3KINz0Gop7Edb3Mmeevs0CEPMoNkkHAM93
4754918,2265,33.53,5,lH5NHhvsNqJd1voEdpYw8I6iWcc4oCXKm
4754934,40243,32.7,3,YjxLGuSXRuTaxfNjLFgnfGpnQSe9CzbqRf19tmAN
4754938,26301,91.71,13,55SFKsgg08cuDDFnNWV9ttB5jdoR8Cj9O3avmR8RAN2l1Fk
4754950,16953,63.27,10,0v7WWJvBE76Zh9EGOJmIBbVxjvGHlt9JUZINQHQ
4754967,33032,46.03,4,xJpQR11uaGhZllSJfXuRk
4754989,1446,15.56,3,aOVWGg5WROXaxAVUIsZZ7ggVeF
4754996,38448,12.65,15,2mYi2P7uqejnWaVzx8IZ61Kk9SNMDx5gucBd9x1Rqa
4755021,29384,44.39,12,5eF8QugmcPHVMyoUbYBkR7
4755030,41842,60.56,13,uAvPZdPVyx0GcNqJYHTVcTVhFr
4755047,27111,18.76,9,sqyom5K6Hkpc0j8vaapCzY7Kx9gfCmtH
4755052,49035,46.31,14,hxAqIdJJoVDMhci1eER9q0Bd80yW5DRDdJZR9Dsq82
4755074,41885,36.68,15,caP93SkhNBKxs5yMkwDpBq396y3fkBidY4HHur2wO
4755093,32121,90.81,1,SYWXwrJv3PHEf1slKuoM
4755123,8996,78.05,5,xPTy44q9Ukk2ABoRR3ggfCeQEzqQh8WhGIpC883ozhEU
4755176,25554,63.72,15,yJg1rjzrPRk4XemVLgoQFdX1dlqBdWOV
4755188,30826,66.23,4,K4TxFsP1ZjHJPjEJU3igOEkOU
4755198,48985,35.81,3,MpI8UeDHYEIIqVT8mpdB6ecFlPZuj4EhLp8v5Pt8hCz
4755199,28748,98.26,6,HRJzE18xp2SKfG1rs0TKNCoJ8M2gnXyhOw0wzFoNu85ff
4755223,7330,38.96,14,J9mzg2SRRbvuO9FqmTDewTJVVYiDoZWKMiREhEaPtKblEZXi
4755325,8544,72.78,13,BX7oOY9jXDXkZHoOPHtLgUDgykZy33q7mAY82ZDmqjw
4755375,7193,42.32,12,8Mvp0bCLPKdMqDRbbiPgCmZ8dpve
