TransID,CustID,TransTotal,TransNumItems,TransDesc
24,1086,51.46,4,NAX4ggyJ2dnBWijWsXZ9DINe5Bu0RCSFwxVuZ4F8I
26,44046,91.47,8,i6xdfb1EbsjNG2vpXjEeylVtGkyKdFjZzjNqT2Stv4cj
37,7997,79.53,6,LgOVknTE8aPIfOyuc8rghrkXWImA71uP0Se3YAyJ
38,41139,80.29,8,422ztdYFXHn8vqArWQNfIHPRiBI4szIIqBuH
44,25392,53.94,14,c1aLyTeoNOb4Wrv4ptizFUaZf4RLednQBq1R
52,27693,35.88,9,o3gsmwcnDCT7W9NakqasU3jBj5rILsVXDdou
64,42286,14.06,13,Xuj2nsHduYyln8sdsqlGJFY1l25zXgdtEzaeV5qnpK
67,35139,30.17,3,hHfSfJ15ipISzcu7aR7r1dprDiBGGfyc4ZsdgL
87,32166,99.53,7,YOHn1EUS2958r5QFkuQtjBKiJvGaTCBgm1GQuBYYrs8vDLQ
100,8056,79.74,10,xZoAahnEq3FvX2eQQawALyRMpVRWb81yCj
101,27310,26.0,7,4HQ9Tr8hofUKF7CitaV3SEjW5U19m787zawifTMyQwAQID0
149,10876,25.54,1,5bwZplCPLhdVD5oJYpdBh8M
156,5154,48.41,4,lhmz33EWTCKx7hexdhllipLiXxgppb
185,3548,17.23,6,4tb5BGyCPnakX9FWqJiGR0oR
200,48264,86.44,15,3okywWzXRfAyvZ0NDiNExYW6ErsJ32KfeX
204,1842,39.76,7,JeevySk5XV7GLvnDgq6wiuCTmOGcjLH
226,21725,27.04,1,39GKU8QZGaZPsWETHO2hodySKOa9pkeIDzh
256,22040,80.17,3,N1HPgAFbREYHFXSgMx3iQx798GLMvV2SH0WSVkyAf1f66WMjP
281,499,35.49,1,HZu3UsrSkNbzQppeMSFGbsxVbgRFh8LaQvvROQFqEXS420AMs
299,7939,20.12,14,TJErtJOQ7dGbzmLBauJ81iwrN6hRWb
306,23562,71.41,14,RLKc8xFT9XlEZx4JD9NKlGO
314,22012,85.6,7,KTiFsWufo4ykTnklUxmWWnI2DxwMIlYIe0
