TransID,CustID,TransTotal,TransNumItems,TransDesc
4190707,20834,45.04,12,TZzArK3gQMI2cOnJZLLTZVHIdYERqXPVIwcWjr
4190740,30799,55.31,7,kAbHc2TnDLkt7w6aJpus0I
4190759,43769,52.15,1,JIZ0KjKM6GwcSUL5Fk51OkhLU4grT6lUzlj
4190798,38762,25.76,15,esqWg5upCdamPfTPNyz9kW
4190824,46517,67.96,3,LkqCZUeEcTKK0vjhrqEHKL
4190825,15987,65.38,6,uG8fq49nPwN9ozANECd5pw2AohlBr0qIwOvOcgi3Qj35
4190850,34134,36.29,4,S5l8RXEDyEtWWEf6LHFrID1RikcSPEM81Qcz
4190852,11207,17.26,3,JtA7PFwzc5rVE4qTSKgl2hXuJOYsKuDZh5zstjH8Beg3vcde
4190858,16631,87.09,15,hiP48FuUQwwUqx4O8zmJ2P
4190875,44087,73.44,7,8k2D2YkiLRzUbTrP6a9H5j4nwkpAX945PyIkYvEsB
4190890,14036,29.07,10,XbqlPQtDv7oIdQVNbope5CayjHsuXHDAi8HP
4190946,23126,43.17,15,6cyuZ78jTTihFja8kmwm6h
4190952,976,97.59,11,U9yX2bu2z0Dmk7Rauk4qnrkGjKfQBetavPE4auS2uX
4190967,29566,96.3,14,mpvPcCfG9lOgBY98YaIcnvl3dXXNH9qRbUn1F4J4TXIz2xpCZl
4190969,35051,94.07,3,GTkCHI8BGla3QvQRoKiGCD5aDmrc3W2dMsGtDFwKA8aYv9
4191006,38009,53.67,10,NidQxh9qzQinTBlgUszOe7c8ZDsXPBXYr63
4191013,21141,97.89,13,hG8aJsvTg8NLXQAq29VmwPkt6T7cg
4191037,21975,66.74,8,T5sidrZuqvwW8lWdcZTH2Ti7
4191050,42545,95.45,10,q7ibBLVjKYA3Y1gBRow53zryYO8Pii0NeabrvuIDU
4191061,36419,38.03,1,6H2NPNQhPw6VHVWolsEi4KvxLPWQ5j0e0RPYkvLeX
4191100,13383,18.43,3,UVkzD887mWNd1VKy1WQlDx7mowOGksOP5qJP3f4JOSH2Y2
4191101,40104,67.95,3,TSGp0XCe4j2ndzS4v8W1a7k2bcxe4gxE5XXCT
4191107,34701,56.94,6,bZEVbqDu5h5jdUz01fWeMQ62ZQGBazWdGrvRG3nk9RzLXJKD
4191129,7298,14.18,11,CSUT1f4xnh9fItvKJX0j8Fs3D86HNsFKRvtQxq57POt3DLPf5x
4191206,40732,54.91,8,uQReQla7o7mgGrBFrqDjJPVPyjCDDMN0mTQZbd2oAi0X
4191220,6527,87.99,9,1aKQtNviDeH39WIAYTogfykSJ8
4191223,36492,66.65,10,pfwyORbwddIChfQsasQS88rCdGOGMWRHW
4191229,32995,95.4,7,hWXA6w2xUPqTLILPKtDtjTMPvOt2riNx949Y3TYn6nxsMI
4191258,45277,26.49,7,SE8NgSFJHnlyxySJZi5ibfIgt2qMoA9Qqeblt29zd
4191290,14552,90.07,15,l6vFke3iKGHX7r1w4X3o1CchkcJTCoD
4191300,35801,48.23,11,AD7qDaBC0WvGiP2g1ieMgVW1YN
4191316,35298,63.89,1,sDIfDfCa2jfzzLdITHjTWDhcBEWB4cBeO9i5H85dtflpQ
