TransID,CustID,TransTotal,TransNumItems,TransDesc
575034,41365,44.12,7,It7UTAMuDRh17h0jbxmQ9nLJ1z5Fr9ktkrbw
575035,24224,51.81,9,U1Wip0H56I4DxNnswhw4Vk0yDPYQKbYiHwxTMwsNLemtnPC
575036,8643,65.44,11,sJ6hKaIvvAgcZPSvIzJvQZt6Icufvc5L62mICbc4tT3j
575037,986,75.43,4,jxqcpgDulVUkGkmUIoTL1ul
575106,39114,20.68,3,qPgbSMnn9tafNPWZ6VXKnHNv
575147,33762,38.38,12,EspaJXlmlCc3MhUb6KWWtZjr2I7a19f8jmf0Aw4njg
575156,2717,11.52,12,qCZTtD7UIl4GxsY1YFID0v
575186,22479,89.93,10,0cYTjoxvUikDelF95t5jE6Bb1AUPRpXXYPqQ
575197,23195,58.27,9,SAvgaCTQzW3NCYGnouOoF5tXbSNfIskgX7
575203,26612,59.47,3,3MnXo9AYWMq1xsk7MnCM7Ybh3NmVejpshSdei
575259,48233,37.15,3,2X8w6ZU7QRshID0GMRUf7ybj6eUKhglI
575266,26293,97.19,9,1OPqAbYEAQ8oJZHDvruZyZixEcXvDTQXeRSO
575271,32317,47.9,15,UvJb6NScVLv96JrSCusJCpo1ox6tF5sm3xwIZzn7W
575330,38432,87.28,8,nLHH1RTc6teyJ285HiZdWCSSC
575331,5962,78.01,8,0Q3swyo5sHfV0asF5AGuJOeiagLZ4ixo2YlR
575370,25588,61.0,1,xeNYWP7PeJ1kNQmkQLgFLiBLpFx7JZ
575382,1226,54.64,6,ykcmtoTnsQFHD8GUQRXY
575386,28254,51.11,4,CixGlzEsaFVbIlEMf9nNCVm8Tl36yJ8Tv
575416,4031,37.92,4,lZ0qWULZELh7kVoU1KeVGD01
575461,12010,24.48,6,lLemg0EQvnpYb4ekh01ANh8q8qq9FFhT5O9Hh65
575469,8320,93.37,2,j9GxqGpTy800VbHCWUiOc3Mt4Y4Y8Lrfbl12CYosbMyKT0
575476,32603,71.59,6,til3o1i5idfPvWtPERpTdVeiSuc3thbjz
575496,27900,71.92,14,IkZHPZhzDDXdVx2S8RQOLPKfcUNygosus7JibgonPefNput6za
575502,39397,12.52,5,NvP3gXu0p0tEmof9ISQzafxKzaBIxPVztcwZKajsX
575505,19547,32.08,14,WUbTMZQh1BN6F6Yg8sPs4J7x7jIf29dH6fc
