TransID,CustID,TransTotal,TransNumItems,TransDesc
2500023,25499,58.89,12,7kQrUuRb2EflsejlFXMK8FhV90BYID9gd6KYGMu80Tslx89i
2500024,1834,80.82,5,WBmhhZXTbI6338v8XjmXIJXb7lpKp
2500031,46044,31.59,7,3CrgAFJd2FBDkY1xHio1U
2500049,15885,77.39,3,IIlg4o0J0iogh04H5WtHlgscEMPoB3ZkGwJZ8Tdfo8W6MZf
2500056,43580,46.66,2,tUzaWkagTH9gCiVwU8LEOgZBO9B
2500073,44774,35.89,15,ETcp2fp3sI84LeZ3ilxZKf6RSWEViLPkDNrJxE
2500101,14524,59.79,5,PkRvVQCGFyhCavSoGlCE4DZigTGu2UxWq
2500104,2318,38.85,5,1e6vNguK2Om8Dw5Lw2QBQ2TwIV
2500169,43578,83.13,5,qYZRI9uKbG2qtld3agz3aNcrG2i16jsU3dKxKTtlWOd7n
2500185,6399,57.52,13,n6gi11AnZeNs569zx4YMqDDYAZdf
2500198,41658,30.13,5,kAenxremb8zGMHYAk0kaDMvoOmRyDyrQXercl
2500250,32360,95.3,5,Dly6U7DCd0AnCY62j0BFySH44rhzxprpgG7
2500251,16798,17.32,13,I8tmAxmsCqg4qA3u7i9KCv
2500261,2160,85.58,3,1evHIoClp137XbCA7biStD0OFgNdwRPsV
2500281,5977,69.07,5,Re8lrDjPlp467qUIiEBRL
2500304,26826,81.94,12,nSeE1E5DgZJgNiSY204sS05d48NlzVwPIIhb4
2500347,12560,53.93,4,v1OlYZShtHz9a1q0a9toix4
2500369,37873,40.09,8,Bk9S9BK4Yvr6ac2Nu1u3qX
2500376,16532,75.13,2,eS3q1h7rPOxXsyJdLFmGaGHe5c4mREK8FC3pZMvKclLVWiw4lf
2500389,13136,46.05,13,IBZ6DWVeVg8B3ucdTDLZghy7yaywhgK0C9Tsdyx9Phcnx2
2500441,22399,39.29,11,xTcsz58mlOzcBoYVzicoAf
2500475,16493,77.42,3,1Ii7NJqIR2pyFEK2Qhrw6HwLlsGuUwfn
2500496,43174,12.13,10,SjyUSeI5asglZ7AznfzltRDjE6w9nODqLqWSnuTta
2500497,4568,19.71,4,6MSrQTQdTJoO55E0F9b5scPfkaIZE12
2500536,1318,65.11,4,KzSZVFTMv6dstLKVEzt36S8OWie
2500539,17751,24.49,1,xwDEW1jl1Nqq3Hhf4KLiU9Hh8OTAvXVJndP
2500550,629,25.69,11,lG25F8QhYAU3a5Mr8O3qfhRep65Rr0
2500554,46594,17.86,12,gxA78ozYDMo8m7iPsHuTkqEKx1KpjE8gXJVFOrPw929LVthX0L
2500559,40904,89.68,12,0wXQ0BKO7FacaiXM5NWlEbP
2500561,38400,79.33,5,uEBotBdUTlS5ug9ir8G9d
